City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,tvoroyri,61.5556,-6.8111,282.96,97,100,2.48,FO,1691797910
253,phan rang-thap cham,11.5667,108.9833,301.45,70,51,2.27,VN,1691797910
254,yomju-up,39.8933,124.5981,294.51,88,100,5.41,KP,1691797910
255,dunedin,-45.8742,170.5036,282.63,51,100,0.89,NZ,1691797910
256,obock,12.25,43.0833,301.19,46,98,1.33,DJ,1691797911
257,arish,31.1316,33.7984,299.02,73,6,3.82,EG,1691797911
258,yanam,16.7333,82.2167,300.06,80,100,2.13,IN,1691797911
259,cabinda,-5.55,12.2,295.23,88,0,3.09,AO,1691797911
260,labytnangi,66.6572,66.4183,279.66,81,65,1.29,RU,1691797911
261,west island,-12.1568,96.8225,298.14,83,85,7.72,CC,1691797911
262,saudarkrokur,65.7461,-19.6394,281.9,96,100,2.35,IS,1691797912
263,shingu,33.7333,135.9833,303.68,59,0,0.65,JP,1691797912
264,avarua,-21.2078,-159.775,299.18,78,75,3.6,CK,1691797912
265,sungai penuh,-2.0833,101.3833,291.84,96,84,0.62,ID,1691797912
266,kirensk,57.7853,108.1119,290.03,87,98,0.43,RU,1691797912
267,martuk,50.7475,56.5056,289.56,55,9,3.11,KZ,1691797912
268,tripoli,32.8752,13.1875,298.4,62,0,4.74,LY,1691797912
269,tangalle,6.024,80.7911,298.04,89,87,5.3,LK,1691797913
270,murghob,38.1702,73.9667,284.69,44,0,0.47,TJ,1691797913
271,vadso,70.0744,29.7487,290.64,88,20,2.57,NO,1691797913
272,bandar lampung,-5.4254,105.258,295.13,88,16,1.3,ID,1691797913
273,la passe,45.5549,-0.8967,294.28,89,21,1.22,FR,1691797913
274,lorengau,-2.0226,147.2712,301.57,72,77,7.07,PG,1691797913
275,trenggalek,-8.05,111.7167,295.21,88,88,1.23,ID,1691797914
276,whitehorse,60.7161,-135.0538,292.6,48,75,6.17,CA,1691797726
277,pangkalanbuun,-2.6833,111.6167,296.5,82,99,1.23,ID,1691797914
278,qalat,32.1058,66.9083,297.85,18,40,3.24,AF,1691797914
279,rabaul,-4.1967,152.1721,301.35,73,59,6.68,PG,1691797914
280,palikir - national government center,6.9248,158.1611,302.56,74,100,2.57,FM,1691797914
281,verkhnevilyuysk,63.4453,120.3167,289.96,95,100,2.94,RU,1691797914
282,zouerate,22.7187,-12.4521,308.94,12,11,3.52,MR,1691797914
283,verkhnyaya sinyachikha,57.976,61.6673,282.23,81,38,2.54,RU,1691797915
284,vilhena,-12.7406,-60.1458,297.27,64,20,1.54,BR,1691797915
285,nuevo ideal,24.8875,-105.0728,290.21,85,75,3.87,MX,1691797915
286,port sudan,19.6175,37.2164,306.95,37,23,0.96,SD,1691797915
287,federal,-30.9547,-58.7833,285.13,41,44,3.76,AR,1691797915
288,ciudad acuna,29.3232,-100.9522,315.31,26,0,4.63,MX,1691797915
289,santa ana,33.7456,-117.8678,305.18,67,40,5.66,US,1691797890
290,mogocha,53.7333,119.7667,290.1,92,100,1.74,RU,1691797916
291,tegueste,28.5167,-16.3167,302.64,41,0,7.72,ES,1691797916
292,chonchi,-42.6128,-73.8092,277.66,84,99,0.95,CL,1691797916
293,port isabel,26.0734,-97.2086,309.2,68,0,9.26,US,1691797781
294,okha,53.5739,142.9478,291.04,79,92,4.46,RU,1691797916
295,callao,-12.0667,-77.15,294.31,73,100,6.69,PE,1691797916
296,chibougamau,49.9168,-74.3659,286.94,88,100,5.14,CA,1691797640
297,atafu village,-8.5421,-172.5159,301.18,64,41,4.25,TK,1691797917
298,bredy,52.4153,60.3411,285.84,70,1,3.86,RU,1691797917
299,kudahuvadhoo,2.6708,72.8944,300.68,74,99,5.22,MV,1691797917
300,vila velha,-20.3297,-40.2925,296.12,83,0,4.63,BR,1691797917
301,mata-utu,-13.2816,-176.1745,300.71,75,35,2.29,WF,1691797917
302,wuwei,37.9281,102.6414,297.08,40,1,1.58,CN,1691797917
303,bishunpur urf maharajganj,26.2519,83.1186,300.33,76,100,2.9,IN,1691797917
304,mariehamn,60.0973,19.9348,286.38,82,0,3.6,AX,1691797918
305,rani,25.3503,73.3089,298.58,80,100,4.44,IN,1691797918
306,mount isa,-20.7333,139.5,295.02,40,40,1.03,AU,1691797918
307,russkiy kameshkir,52.8589,46.0892,292.06,51,44,3.78,RU,1691797918
308,san andres,12.5847,-81.7006,303.16,79,20,4.63,CO,1691797918
309,lashio,22.9333,97.75,293.64,100,100,0.25,MM,1691797918
310,anadyr,64.75,177.4833,283.43,87,100,3.0,RU,1691797918
311,khash,28.2211,61.2158,298.0,19,0,1.07,IR,1691797919
312,phulpur,25.55,82.1,301.15,67,100,3.88,IN,1691797919
313,tamiahua,21.2667,-97.45,303.58,78,43,6.91,MX,1691797919
314,rudnyy,52.9594,63.1206,284.28,71,92,4.54,KZ,1691797919
315,amga,60.8953,131.9608,294.31,70,73,2.29,RU,1691797919
316,santa rosa misiones,-26.8667,-56.85,293.87,73,58,5.02,PY,1691797919
317,pimentel,-6.8367,-79.9342,295.31,78,100,7.2,PE,1691797919
318,nakonde,-9.3421,32.745,283.84,81,0,2.56,ZM,1691797920
319,carahue,-38.7,-73.1667,277.8,96,52,0.52,CL,1691797920
320,sandnessjoen,66.0217,12.6316,285.44,85,100,1.45,NO,1691797920
321,fortuna,40.5982,-124.1573,295.89,71,20,7.72,US,1691797920
322,purna,19.1833,77.05,296.9,83,53,3.52,IN,1691797920
323,pokrovsk,48.282,37.1758,291.58,98,40,4.02,UA,1691797920
324,misasi,-3.0,33.0833,295.19,61,52,1.5,TZ,1691797920
325,narvik,68.4384,17.4272,288.92,77,97,3.05,NO,1691797921
326,morehead city,34.7229,-76.726,302.16,83,40,4.63,US,1691797921
327,taranagar,28.6709,75.0351,303.02,57,26,7.86,IN,1691797921
328,enewetak,11.3474,162.3373,301.64,75,94,6.73,MH,1691797921
329,arica,-18.475,-70.3042,291.28,77,100,5.66,CL,1691797726
330,umba,66.6871,34.3429,287.52,88,96,1.57,RU,1691797921
331,tolanaro,-25.0319,46.9987,286.19,94,20,1.03,MG,1691797921
332,port blair,11.6667,92.75,300.48,82,100,7.15,IN,1691797922
333,tazacorte,28.629,-17.9293,299.69,61,0,7.2,ES,1691797922
334,acapulco de juarez,16.8634,-99.8901,304.05,66,75,2.57,MX,1691797922
335,kone,-21.0595,164.8658,296.39,38,4,2.43,NC,1691797922
336,bandarbeyla,9.4942,50.8122,296.41,88,3,12.6,SO,1691797922
337,crane,31.3974,-102.3501,312.63,18,0,4.36,US,1691797922
338,kingston,17.997,-76.7936,302.73,75,20,7.72,JM,1691797750
339,karatau,43.1667,70.4667,293.0,55,0,2.9,KZ,1691797923
340,port alfred,-33.5906,26.891,292.78,42,1,3.72,ZA,1691797923
341,puerto madero,14.7208,-92.4215,303.13,74,60,4.51,MX,1691797923
342,touros,-5.1989,-35.4608,296.71,79,5,5.2,BR,1691797923
343,kamiiso,41.8167,140.65,299.36,83,75,7.2,JP,1691797923
344,kimberley,-28.7323,24.7623,283.98,50,2,4.12,ZA,1691797924
345,oum hadjer,13.2954,19.6966,299.51,73,100,2.17,TD,1691797924
346,hluti,-27.2167,31.6167,284.3,84,0,1.45,SZ,1691797924
347,olinda,-8.0089,-34.8553,300.0,69,75,4.63,BR,1691797924
348,shiprock,36.7855,-108.687,304.34,29,97,4.72,US,1691797924
349,labasa,-16.4167,179.3833,297.79,72,99,5.09,FJ,1691797924
350,revda,56.801,59.9303,282.78,89,13,1.64,RU,1691797925
351,arkhangel'sk,64.5401,40.5433,291.23,82,0,2.41,RU,1691797925
352,mejit,10.2753,170.8646,301.51,73,81,8.0,MH,1691797925
353,paita,-5.0892,-81.1144,294.65,82,2,7.53,PE,1691797925
354,villa gesell,-37.2639,-56.973,280.96,57,21,10.39,AR,1691797748
355,novodvinsk,64.4165,40.8122,291.02,82,0,2.25,RU,1691797926
356,jiagedaqi,50.4167,124.1167,291.56,96,100,3.07,CN,1691797926
357,adrar,20.5022,-10.0711,305.51,40,88,4.77,MR,1691797926
358,port saint john's,-31.6229,29.5448,291.41,57,0,3.43,ZA,1691797926
359,gafanha da nazare,40.6362,-8.7134,295.38,92,75,3.41,PT,1691797926
360,lerwick,60.1545,-1.1494,285.15,93,14,3.06,GB,1691797927
